threshold,coverage,risk,error,accuracy
0.22,0.8389999866485596,0.019524795934557915,0.01811683177947998,0.98188316822052
0.225,0.8388000130653381,0.019528530538082123,0.01812112331390381,0.9818788766860962
0.23,0.8384000062942505,0.019536057487130165,0.01812976598739624,0.9818702340126038
0.23500000000000001,0.8379999995231628,0.019543640315532684,0.018138408660888672,0.9818615913391113
0.24,0.8378000259399414,0.019547585397958755,0.018142759799957275,0.9818572402000427
0.245,0.8375999927520752,0.019551360979676247,0.01814711093902588,0.9818528890609741
0.25,0.8374000191688538,0.019317612051963806,0.017912566661834717,0.9820874333381653
0.255,0.8371999859809875,0.01932111755013466,0.017916858196258545,0.9820831418037415
0.26,0.8366000056266785,0.019333187490701675,0.01792973279953003,0.98207026720047
0.265,0.8363999724388123,0.019337071105837822,0.017934024333953857,0.9820659756660461
0.27,0.8360000252723694,0.019106457009911537,0.017703354358673096,0.9822966456413269
0.275,0.8356000185012817,0.01911396160721779,0.0177118182182312,0.9822881817817688
0.28,0.8356000185012817,0.01911396160721779,0.0177118182182312,0.9822881817817688
0.28500000000000003,0.8353999853134155,0.01911786012351513,0.017716050148010254,0.9822839498519897
0.29,0.8349999785423279,0.018648436293005943,0.01724553108215332,0.9827544689178467
0.295,0.8349999785423279,0.018648436293005943,0.01724553108215332,0.9827544689178467
0.3,0.8342000246047974,0.018663978204131126,0.017262041568756104,0.9827379584312439
0.305,0.8342000246047974,0.018663978204131126,0.017262041568756104,0.9827379584312439
0.31,0.8339999914169312,0.018667686730623245,0.01726621389389038,0.9827337861061096
0.315,0.8339999914169312,0.018667686730623245,0.01726621389389038,0.9827337861061096
0.32,0.8335999846458435,0.018675418570637703,0.01727449893951416,0.9827255010604858
0.325,0.8334000110626221,0.0186788197606802,0.017278611660003662,0.9827213883399963
0.33,0.8327999711036682,0.018450835719704628,0.01705092191696167,0.9829490780830383
0.335,0.8325999975204468,0.018454534932971,0.017055034637451172,0.9829449653625488
0.34,0.8325999975204468,0.018454534932971,0.017055034637451172,0.9829449653625488
0.34500000000000003,0.8324000239372253,0.01845824532210827,0.0170590877532959,0.9829409122467041
0.35000000000000003,0.8324000239372253,0.01845824532210827,0.0170590877532959,0.9829409122467041
0.355,0.8324000239372253,0.01845824532210827,0.0170590877532959,0.9829409122467041
0.36,0.8321999907493591,0.018461965024471283,0.0170632004737854,0.9829367995262146
0.365,0.8317999839782715,0.01846947707235813,0.017071425914764404,0.9829285740852356
0.37,0.8309999704360962,0.01848454959690571,0.017087817192077637,0.9829121828079224
0.375,0.8309999704360962,0.01848454959690571,0.017087817192077637,0.9829121828079224
0.38,0.8303999900817871,0.018495799973607063,0.017100214958190918,0.9828997850418091
0.385,0.8303999900817871,0.018495799973607063,0.017100214958190918,0.9828997850418091
0.39,0.8303999900817871,0.018495799973607063,0.017100214958190918,0.9828997850418091
0.395,0.8303999900817871,0.018495799973607063,0.017100214958190918,0.9828997850418091
0.4,0.8302000164985657,0.018499314785003662,0.01710432767868042,0.9828956723213196
0.405,0.8299999833106995,0.018503064289689064,0.017108440399169922,0.9828915596008301
