threshold,coverage,risk,error,accuracy
0.9500000000000001,0.9625999927520752,0.0013678898103535175,0.0,1.0
0.9550000000000001,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0
0.965,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0
0.975,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.985,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
0.995,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
