tau,id_accept_rate,ood_accept_rate,dar
0.715,0.7922999858856201,0.04513675346970558,0.04513675346970558
0.72,0.7919999957084656,0.04490626975893974,0.04490626975893974
0.725,0.7914999723434448,0.044714197516441345,0.044714197516441345
0.73,0.7912999987602234,0.04429164156317711,0.04429164156317711
0.735,0.7907000184059143,0.04398432746529579,0.04398432746529579
0.74,0.7904999852180481,0.04348494112491608,0.04348494112491608
0.745,0.7896000146865845,0.04298555478453636,0.04298555478453636
0.75,0.7889999747276306,0.042639829218387604,0.042639829218387604
0.755,0.7885000109672546,0.04233251512050629,0.04233251512050629
0.76,0.788100004196167,0.04187154397368431,0.04187154397368431
0.765,0.7878000140190125,0.041525814682245255,0.041525814682245255
0.77,0.7875999808311462,0.04125691577792168,0.04125691577792168
0.775,0.7871000170707703,0.04094960168004036,0.04094960168004036
0.78,0.7868000268936157,0.04064228758215904,0.04064228758215904
0.785,0.786300003528595,0.04018131643533707,0.04018131643533707
0.79,0.7857000231742859,0.03995082899928093,0.03995082899928093
0.795,0.785099983215332,0.03968193009495735,0.03968193009495735
0.8,0.7843999862670898,0.03906730189919472,0.03906730189919472
0.805,0.7838000059127808,0.03887522965669632,0.03887522965669632
0.81,0.78329998254776,0.03852950036525726,0.03852950036525726
0.8150000000000001,0.7829999923706055,0.038260601460933685,0.038260601460933685
0.8200000000000001,0.782800018787384,0.03776121512055397,0.03776121512055397
0.8250000000000001,0.7821000218391418,0.037261832505464554,0.037261832505464554
0.8300000000000001,0.7813000082969666,0.0367240309715271,0.0367240309715271
0.835,0.781000018119812,0.036263059824705124,0.036263059824705124
0.84,0.7800999879837036,0.03587891906499863,0.03587891906499863
0.845,0.7789000272750854,0.03545636311173439,0.03545636311173439
0.85,0.7785000205039978,0.035033803433179855,0.035033803433179855
0.855,0.7781000137329102,0.03461124747991562,0.03461124747991562
0.86,0.777400016784668,0.03426551818847656,0.03426551818847656
0.865,0.7767000198364258,0.033766135573387146,0.033766135573387146
0.87,0.7760000228881836,0.03330516442656517,0.03330516442656517
0.875,0.7750999927520752,0.032921019941568375,0.032921019941568375
0.88,0.7741000056266785,0.03238322213292122,0.03238322213292122
0.885,0.7732999920845032,0.031883835792541504,0.031883835792541504
0.89,0.7720999717712402,0.03111555054783821,0.03111555054783821
0.895,0.771399974822998,0.030577750876545906,0.030577750876545906
0.9,0.7706999778747559,0.0300399512052536,0.0300399512052536
0.905,0.7699999809265137,0.029425323009490967,0.029425323009490967
0.91,0.7689999938011169,0.028772279620170593,0.028772279620170593
0.915,0.767300009727478,0.02808082289993763,0.02808082289993763
0.92,0.7659000158309937,0.027389366179704666,0.027389366179704666
0.925,0.7645000219345093,0.02681315317749977,0.02681315317749977
0.93,0.7634000182151794,0.026352182030677795,0.026352182030677795
0.935,0.7616999745368958,0.025545481592416763,0.025545481592416763
0.9400000000000001,0.7595000267028809,0.025084510445594788,0.025084510445594788
0.9450000000000001,0.7562000155448914,0.023970497772097588,0.023970497772097588
0.9500000000000001,0.7533000111579895,0.023202212527394295,0.023202212527394295
0.9550000000000001,0.7506999969482422,0.022241856902837753,0.022241856902837753
0.96,0.7472000122070312,0.021243086084723473,0.021243086084723473
0.965,0.7448999881744385,0.020282728597521782,0.020282728597521782
0.97,0.0,0.0,0.0
0.975,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.985,0.0,0.0,0.0
0.99,0.0,0.0,0.0
0.995,0.0,0.0,0.0
1.0,0.0,0.0,0.0
