method,seed,alpha,tau_hat,cal_accepted_loss_mass,test_accepted_loss_mass,test_selective_risk,test_coverage,test_selective_acc,test_abstention_rate,violation_gap,violated,auroc,aupr,rc_auc_alm,rc_auc_risk,conservativeness,oracle_coverage,coverage_efficiency,ood_accept_rate,dar,safety_ratio,dataset,temperature
posthoc_crc,456,0.15,0.0,0.0795181840658187,0.079759657382965,0.079759657382965,1.0,0.9246000051498412,0.0,0.0,False,0.918380075174812,0.4722622009891165,0.0112690629354589,0.012371700066882,0.0700420603156089,1.0,1.0,,,,cifar10,
posthoc_crc,456,0.2,0.0,0.079286977648735,0.0802095308899879,0.0802095308899879,1.0,0.9241999983787536,0.0,0.0,False,0.9092470475784806,0.4589727357304661,0.0109139252099609,0.0129128606938087,0.1208498895168304,1.0,1.0,,,,cifar10,
posthoc_crc,999,0.01,0.913913905620575,0.0096685755997896,0.0118539920076727,0.015073743648827,0.7864000201225281,0.986266553401947,0.2135999798774719,0.0018539920076727,True,0.909098030488237,0.4471407511348851,0.0123198269178518,0.0140871432246159,-0.0044951250404119,0.7748000025749207,1.042849800526764,,,,cifar10,
posthoc_crc,999,0.02,0.0478780679404735,0.0196295715868473,0.022220766171813,0.0259952805936336,0.8547999858856201,0.9754328727722168,0.1452000141143798,0.002220766171813,True,0.9095688035563808,0.4674111635939623,0.0126916553634326,0.0131377114078562,-0.0012416499853134,0.8425999879837036,1.0161405079424994,,,,cifar10,
posthoc_crc,999,0.05,7.200599156931276e-06,0.0496337786316871,0.0539984852075576,0.0570567287504673,0.946399986743927,0.94590026140213,0.053600013256073,0.0039984852075576,True,0.8994351431271359,0.4183260220222217,0.0126661520970355,0.014642106388232,-0.0007041215896606,0.8812000155448914,1.0696777067607102,,,,cifar10,
posthoc_crc,999,0.1,0.0,0.0797575637698173,0.0834580734372139,0.0834580734372139,1.0,0.9229999780654908,0.0,0.0,False,0.908338140732507,0.4430399974603143,0.0126902355069475,0.0145719708578422,0.0175050631165504,1.0,1.0,,,,cifar10,
posthoc_crc,999,0.15,0.0,0.0793601348996162,0.0830785408616066,0.0830785408616066,1.0,0.9225999712944032,0.0,0.0,False,0.90301115093789,0.4217776817337556,0.0126783230084387,0.014509517898968,0.0672339141368865,1.0,1.0,,,,cifar10,
posthoc_crc,999,0.2,0.0,0.0794837474822998,0.0835181400179863,0.0835181400179863,1.0,0.9225999712944032,0.0,0.0,False,0.9086585993633316,0.4268785694278302,0.0130805333204611,0.0142238125257039,0.1157986566424369,1.0,1.0,,,,cifar10,
MSP,42,0.01,0.9976038336753844,0.009677774272859,0.0117711182683706,0.0149969654275226,0.7849000096321106,0.9863676901516116,,0.0017711182683706,True,0.9069531293970264,0.533085668354365,,,,,,,,,cifar10,
MSP,42,0.02,0.9953835010528564,0.0196233317255973,0.0194147303700447,0.0231155266519358,0.839900016784668,0.9783307536611502,,0.0,False,0.9069531293970264,0.533085668354365,,,,,,,,,cifar10,
MSP,42,0.05,0.92592591047287,0.0496372804045677,0.0502007938921451,0.0537136672983428,0.934599995613098,0.9486411298951424,,0.0002007938921451,True,0.9069531293970264,0.533085668354365,,,,,,,,,cifar10,
MSP,42,0.1,0.0,0.0844537839293479,0.0890424773097038,0.08904248046875,1.0,0.9143,,0.0,False,0.9069531293970264,0.533085668354365,,,,,,,,,cifar10,
MSP,42,0.15,0.0,0.0844537839293479,0.0890424773097038,0.08904248046875,1.0,0.9143,,0.0,False,0.9069531293970264,0.533085668354365,,,,,,,,,cifar10,
MSP,42,0.2,0.0,0.0844537839293479,0.0890424773097038,0.08904248046875,1.0,0.9143,,0.0,False,0.9069531293970264,0.533085668354365,,,,,,,,,cifar10,
MSP,123,0.01,0.9980636835098268,0.0096260542050004,0.0096083423122763,0.0126725692165397,0.7581999897956848,0.9886573463466104,,0.0,False,0.9014660792353688,0.4605673826384144,,,,,,,,,cifar10,
MSP,123,0.02,0.9950913786888124,0.0196339841932058,0.0216247867792844,0.0253990913518359,0.8514000177383423,0.9760394644115574,,0.0016247867792844,True,0.9014660792353688,0.4605673826384144,,,,,,,,,cifar10,
MSP,123,0.05,0.8888888955116272,0.0497992932796478,0.0564437434077262,0.0592771937581226,0.9521999955177308,0.943289224952741,,0.0064437434077262,True,0.9014660792353688,0.4605673826384144,,,,,,,,,cifar10,
MSP,123,0.1,0.0,0.0761045068502426,0.0843148157000541,0.0843148132324218,1.0,0.9206,,0.0,False,0.9014660792353688,0.4605673826384144,,,,,,,,,cifar10,
MSP,123,0.15,0.0,0.0761045068502426,0.0843148157000541,0.0843148132324218,1.0,0.9206,,0.0,False,0.9014660792353688,0.4605673826384144,,,,,,,,,cifar10,
MSP,123,0.2,0.0,0.0761045068502426,0.0843148157000541,0.0843148132324218,1.0,0.9206,,0.0,False,0.9014660792353688,0.4605673826384144,,,,,,,,,cifar10,
MSP,456,0.01,0.9982974529266356,0.0096763232722878,0.0064911767840385,0.0091399276333773,0.7102000117301941,0.9921148972120528,,0.0,False,0.9176674588292936,0.5027392914737356,,,,,,,,,cifar10,
MSP,456,0.02,0.9959105849266052,0.0197716709226369,0.0181676261126995,0.0214190367285133,0.8482000231742859,0.9799575571799104,,0.0,False,0.9176674588292936,0.5027392914737356,,,,,,,,,cifar10,
MSP,456,0.05,0.90055912733078,0.0496377609670162,0.0475282669067382,0.0502412953286039,0.9459999799728394,0.9522198731501056,,0.0,False,0.9176674588292936,0.5027392914737356,,,,,,,,,cifar10,
MSP,456,0.1,0.0,0.0791738405823707,0.0791159495711326,0.0791159484863281,1.0,0.9244,,0.0,False,0.9176674588292936,0.5027392914737356,,,,,,,,,cifar10,
MSP,456,0.15,0.0,0.0791738405823707,0.0791159495711326,0.0791159484863281,1.0,0.9244,,0.0,False,0.9176674588292936,0.5027392914737356,,,,,,,,,cifar10,
MSP,456,0.2,0.0,0.0791738405823707,0.0791159495711326,0.0791159484863281,1.0,0.9244,,0.0,False,0.9176674588292936,0.5027392914737356,,,,,,,,,cifar10,
MSP,999,0.01,0.9975656867027284,0.009679889306426,0.0156832374632358,0.0194919670573402,0.8046000003814697,0.9818543375590356,,0.0056832374632358,True,0.8995318399527432,0.4336904037738725,,,,,,,,,cifar10,
MSP,999,0.02,0.9954087734222412,0.0194180738180875,0.0236114952713251,0.027648119959954,0.8539999723434448,0.9737704918032788,,0.0036114952713251,True,0.8995318399527432,0.4336904037738725,,,,,,,,,cifar10,
MSP,999,0.05,0.8958958983421326,0.0497586764395237,0.0519200935959816,0.054930271660429,0.9452000260353088,0.9475243334743968,,0.0019200935959815,True,0.8995318399527432,0.4336904037738725,,,,,,,,,cifar10,
MSP,999,0.1,0.0,0.0795521885156631,0.0840883627533912,0.0840883605957031,1.0,0.9212,,0.0,False,0.8995318399527432,0.4336904037738725,,,,,,,,,cifar10,
MSP,999,0.15,0.0,0.0795521885156631,0.0840883627533912,0.0840883605957031,1.0,0.9212,,0.0,False,0.8995318399527432,0.4336904037738725,,,,,,,,,cifar10,
MSP,999,0.2,0.0,0.0795521885156631,0.0840883627533912,0.0840883605957031,1.0,0.9212,,0.0,False,0.8995318399527432,0.4336904037738725,,,,,,,,,cifar10,
Energy,42,0.01,0.8534722924232483,,0.0108166076242923,0.0142567650797622,0.7587000131607056,0.9870831685778304,,0.0008166076242923,True,0.8996664050811487,0.5354376970882201,,,,,,,,,cifar10,1.0
Energy,42,0.02,0.7687687873840332,,0.019402727484703,0.0231812744869838,0.8370000123977661,0.9782556750298684,,0.0,False,0.8996664050811487,0.5354376970882201,,,,,,,,,cifar10,1.0
Energy,42,0.05,0.4479946196079254,,0.0520645193755626,0.0554349662091906,0.9391999840736388,0.9471890971039182,,0.0020645193755626,True,0.8996664050811487,0.5354376970882201,,,,,,,,,cifar10,1.0
Energy,42,0.1,0.0,,0.0890424773097038,0.08904248046875,1.0,0.9143,,0.0,False,0.8996664050811487,0.5354376970882201,,,,,,,,,cifar10,1.0
Energy,42,0.15,0.0,,0.0890424773097038,0.08904248046875,1.0,0.9143,,0.0,False,0.8996664050811487,0.5354376970882201,,,,,,,,,cifar10,1.0
Energy,42,0.2,0.0,,0.0890424773097038,0.08904248046875,1.0,0.9143,,0.0,False,0.8996664050811487,0.5354376970882201,,,,,,,,,cifar10,1.0
